"No.","Time","Source","Destination","Protocol","Length","Info"
"61","0.937927915","8.8.4.4","192.168.3.249","TCP","66","443  >  45982 [ACK] Seq=1 Ack=1449 Win=17408 Len=0 TSval=16333469 TSecr=3723071216"
"62","0.937975174","8.8.4.4","192.168.3.249","TCP","66","443  >  45982 [FIN, ACK] Seq=1 Ack=1449 Win=17408 Len=0 TSval=16333469 TSecr=3723071216"
"63","0.938430171","192.168.3.249","8.8.4.4","TCP","66","45982  >  443 [FIN, ACK] Seq=1785 Ack=2 Win=32128 Len=0 TSval=3723071739 TSecr=16333469"
"64","0.980784239","fe80::a2cb:c214:849b:39ea","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"65","1.039470317","8.8.4.4","192.168.3.249","TCP","60","443  >  45982 [RST] Seq=1 Win=0 Len=0"
"66","1.048836795","192.168.3.249","8.8.8.8","TCP","402","[TCP Retransmission] 56152  >  443 [FIN, PSH, ACK] Seq=1449 Ack=2 Win=32128 Len=336 TSval=3434440133 TSecr=16333423"
"67","1.066274762","8.8.8.8","192.168.3.249","TCP","60","443  >  56152 [RST] Seq=2 Win=0 Len=0"
"68","1.068698575","192.168.3.137","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"69","1.102503647","fe80::b86c:1288:e129:b8e4","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"70","1.143342056","192.168.3.137","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"71","1.146337912","192.168.3.1","255.255.255.255","DHCP","342","DHCP ACK      - Transaction ID 0xe75904c4"
"72","1.192948359","fe80::b02e:8ff5:b1e9:488f","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"73","1.193840338","192.168.3.103","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"74","1.201827689","192.168.3.103","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"75","1.202785800","192.168.3.103","224.0.0.251","MDNS","81","Standard query 0x0000 ANY DESKTOP-2LDOC8P.local, ""QM"" question"
"76","1.204091878","fe80::b02e:8ff5:b1e9:488f","ff02::fb","MDNS","101","Standard query 0x0000 ANY DESKTOP-2LDOC8P.local, ""QM"" question"
"77","1.205743222","192.168.3.103","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::b02e:8ff5:b1e9:488f A 192.168.3.103"
"78","1.208569603","fe80::b02e:8ff5:b1e9:488f","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::b02e:8ff5:b1e9:488f A 192.168.3.103"
"79","1.218550685","fe80::b02e:8ff5:b1e9:488f","ff02::1:3","LLMNR","95","Standard query 0xce3d ANY DESKTOP-2LDOC8P"
"80","1.220897528","192.168.3.103","224.0.0.252","LLMNR","75","Standard query 0xce3d ANY DESKTOP-2LDOC8P"
"81","1.252528742","192.168.3.103","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"82","1.261255531","192.168.3.103","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::b02e:8ff5:b1e9:488f A 192.168.3.103"
"83","1.262862815","fe80::b02e:8ff5:b1e9:488f","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::b02e:8ff5:b1e9:488f A 192.168.3.103"
"84","1.264098772","fe80::b02e:8ff5:b1e9:488f","ff02::1:3","LLMNR","95","Standard query 0xd6e5 ANY DESKTOP-2LDOC8P"
"85","1.265172837","192.168.3.103","224.0.0.252","LLMNR","75","Standard query 0xd6e5 ANY DESKTOP-2LDOC8P"
"86","1.324867914","192.168.3.249","8.8.8.8","TCP","1514","56136  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1448 TSval=3434440409 TSecr=16333356 [TCP segment of a reassembled PDU]"
"87","1.326614672","8.8.8.8","192.168.3.249","TCP","60","443  >  53914 [RST] Seq=1 Win=0 Len=0"
"88","1.348830078","192.168.3.249","192.168.3.1","DNS","73","Standard query 0x514b A ipv4only.arpa"
"89","1.443133742","192.168.3.249","8.8.8.8","TCP","74","53916  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3434440527 TSecr=0 WS=128"
"90","1.488094785","192.168.3.249","8.8.4.4","QUIC","1292","Initial, DCID=430942730f7d1edf, PKN: 1, CRYPTO"
"91","1.488147652","192.168.3.249","8.8.4.4","QUIC","1292","Initial, DCID=430942730f7d1edf, PKN: 2, PING, CRYPTO, PING, PING, PING, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING, PADDING, PING, CRYPTO"
"92","1.488267951","192.168.3.249","8.8.4.4","TCP","74","45984  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3723072289 TSecr=0 WS=128"
"93","1.518732925","fe80::9f6d:bf0b:258e:d565","ff02::1:2","DHCPv6","145","Solicit XID: 0x1f6135 CID: 000100012d8fb005e070ea362752 "
"94","1.521972581","192.168.3.1","192.168.3.249","DNS","173","Standard query response 0x18f3 A colab.research.google.com CNAME colab-alv.research.google.com A 216.239.32.180 A 216.239.34.180 A 216.239.38.180 A 216.239.36.180"
"95","1.522005105","8.8.4.4","192.168.3.249","TCP","60","443  >  45982 [RST] Seq=1 Win=0 Len=0"
"96","1.522016431","8.8.8.8","192.168.3.249","TCP","60","443  >  53914 [RST] Seq=2 Win=0 Len=0"
"97","1.522052674","192.168.3.249","192.168.3.1","DNS","85","Standard query 0x6485 AAAA colab.research.google.com"
"98","1.528701241","8.8.4.4","192.168.3.249","TCP","60","443  >  45982 [RST] Seq=2 Win=0 Len=0"
"99","1.528747653","8.8.8.8","192.168.3.249","TCP","60","443  >  56152 [RST] Seq=2 Win=0 Len=0"
"100","1.555930755","192.168.3.249","192.6.1.1","DNS","84","Standard query 0x41c3 A detectportal.firefox.com"
"101","1.663165523","192.168.3.103","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"102","1.664333911","fe80::b02e:8ff5:b1e9:488f","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"103","1.672816341","192.168.3.1","192.168.3.249","DNS","105","Standard query response 0x514b A ipv4only.arpa A 192.0.0.170 A 192.0.0.171"
"104","1.672930958","192.168.3.249","192.168.3.1","DNS","73","Standard query 0xb143 AAAA ipv4only.arpa"
"105","1.679379527","8.8.8.8","192.168.3.249","TCP","74","443  >  53916 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333544 TSecr=3434440527 WS=128"
"106","1.679488486","192.168.3.249","8.8.8.8","TCP","66","53916  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=3434440763 TSecr=16333544"
"107","1.681099158","192.168.3.249","8.8.8.8","TCP","1514","53916  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=1448 TSval=3434440765 TSecr=16333544 [TCP segment of a reassembled PDU]"
"108","1.681129027","192.168.3.249","8.8.8.8","TLSv1","338","Client Hello"
"109","1.728996851","192.168.3.249","192.168.3.1","DNS","85","Standard query 0x9831 A push.services.mozilla.com"
"110","1.733623179","192.168.3.1","192.168.3.249","ICMP","590","Destination unreachable (Network administratively prohibited)"
"111","1.739667105","192.168.3.249","8.8.4.4","TCP","74","45986  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3723072540 TSecr=0 WS=128"
"112","2.127164943","192.168.3.1","192.168.3.249","ICMP","590","Destination unreachable (Network administratively prohibited)"
"113","2.129746949","8.8.4.4","192.168.3.249","TCP","74","443  >  45984 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333585 TSecr=3723072289 WS=128"
"114","2.129823076","192.168.3.249","8.8.4.4","TCP","66","45984  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=3723072931 TSecr=16333585"
"115","2.131350429","192.168.3.249","8.8.4.4","TCP","1514","45984  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=1448 TSval=3723072932 TSecr=16333585 [TCP segment of a reassembled PDU]"
"116","2.131389524","192.168.3.249","8.8.4.4","TLSv1","402","Client Hello"
"117","2.188817334","192.168.3.249","8.8.8.8","TCP","338","[TCP Retransmission] 53916  >  443 [PSH, ACK] Seq=1449 Ack=1 Win=32128 Len=272 TSval=3434441273 TSecr=16333544"
"118","2.189862307","fe80::732a:f8e1:bf9b:94e8","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"119","2.292334529","fe80::732a:f8e1:bf9b:94e8","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"120","2.294227793","192.168.3.228","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"121","2.296924258","fe80::732a:f8e1:bf9b:94e8","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"122","2.355445533","192.168.3.228","224.0.0.251","MDNS","81","Standard query 0x0000 ANY WINDOWS-9MSBPQU.local, ""QM"" question"
"123","2.388395929","fe80::732a:f8e1:bf9b:94e8","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::732a:f8e1:bf9b:94e8 A 192.168.3.228"
"124","2.392387432","192.168.3.1","192.168.3.249","DNS","113","Standard query response 0x6485 AAAA colab.research.google.com AAAA 2a00:1450:4003:803::200e"
"125","2.392442177","192.6.1.1","192.168.3.249","DNS","195","Standard query response 0x41c3 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net A 34.107.221.82"
"126","2.393271052","192.168.3.249","34.107.221.82","TCP","74","43208  >  80 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=1094778553 TSecr=0 WS=128"
"127","2.393273888","fe80::732a:f8e1:bf9b:94e8","ff02::1:3","LLMNR","95","Standard query 0x7b59 ANY WINDOWS-9MSBPQU"
"128","2.393451215","192.168.3.249","216.239.32.180","TCP","74","56626  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=4108659536 TSecr=0 WS=128"
"129","2.404616533","192.168.3.228","224.0.0.252","LLMNR","75","Standard query 0x7b59 ANY WINDOWS-9MSBPQU"
"130","2.482691947","fe80::732a:f8e1:bf9b:94e8","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"131","2.643742024","192.168.3.249","216.239.32.180","TCP","74","56634  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=4108659786 TSecr=0 WS=128"
"132","2.643777415","192.168.3.249","192.168.3.1","DNS","84","Standard query 0x7188 A detectportal.firefox.com"
"133","2.650142683","8.8.8.8","192.168.3.249","TCP","78","[TCP Window Update] 443  >  53916 [ACK] Seq=1 Ack=1 Win=14592 Len=0 TSval=16333630 TSecr=3434440763 SLE=1449 SRE=1721"
"134","2.650216272","192.168.3.249","8.8.8.8","TCP","1514","[TCP Retransmission] 53916  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=1448 TSval=3434441734 TSecr=16333630"
"135","2.650237248","192.168.3.1","192.168.3.249","DNS","101","Standard query response 0x9831 A push.services.mozilla.com A 34.107.243.93"
"136","2.650247110","8.8.4.4","192.168.3.249","TCP","74","443  >  45986 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333632 TSecr=3723072540 WS=128"
"137","2.650270194","192.168.3.249","8.8.4.4","TCP","66","45986  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=3723073451 TSecr=16333632"
"138","2.650279605","192.168.3.249","192.168.3.1","DNS","85","Standard query 0x7e35 AAAA push.services.mozilla.com"
"139","2.650280621","fe80::b86c:1288:e129:b8e4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"140","2.651612261","192.168.3.249","8.8.4.4","TCP","1514","45986  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=1448 TSval=3723073452 TSecr=16333632 [TCP segment of a reassembled PDU]"
"141","2.651637271","192.168.3.249","8.8.4.4","TLSv1","338","Client Hello"
"142","2.655952538","8.8.4.4","192.168.3.249","TCP","66","443  >  45984 [ACK] Seq=1 Ack=1449 Win=17408 Len=0 TSval=16333639 TSecr=3723072932"
"143","2.656036507","8.8.4.4","192.168.3.249","TCP","66","443  >  45984 [FIN, ACK] Seq=1 Ack=1449 Win=17408 Len=0 TSval=16333639 TSecr=3723072932"
"144","2.656052741","192.168.3.137","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"145","2.656339495","192.168.3.249","8.8.4.4","TCP","66","45984  >  443 [FIN, ACK] Seq=1785 Ack=2 Win=32128 Len=0 TSval=3723073457 TSecr=16333639"
"146","2.656846572","192.168.3.249","8.8.4.4","TCP","74","45990  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3723073457 TSecr=0 WS=128"
"147","2.692056898","192.168.3.137","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"148","2.693371305","fe80::b86c:1288:e129:b8e4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"149","2.695405958","192.168.3.137","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"150","2.699971426","fe80::b86c:1288:e129:b8e4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"151","2.703024949","8.8.4.4","192.168.3.249","TCP","60","443  >  45984 [RST] Seq=1 Win=0 Len=0"
"152","2.706499948","192.168.3.137","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"153","2.743348949","fe80::b86c:1288:e129:b8e4","ff02::fb","MDNS","101","Standard query 0x0000 ANY DESKTOP-1FM4AO4.local, ""QM"" question"
"154","2.744714374","192.168.3.137","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::b86c:1288:e129:b8e4 A 192.168.3.137"
"155","2.765821121","192.168.3.137","224.0.0.252","LLMNR","75","Standard query 0x8e45 ANY DESKTOP-1FM4AO4"
"156","2.932721475","192.168.3.51","224.0.0.251","MDNS","85","Standard query 0x0000 A HPLaserJetM139-M142.local, ""QM"" question"
"157","2.933963667","fe80::99c3:5cdc:2244:3a32","ff02::fb","MDNS","105","Standard query 0x0000 A HPLaserJetM139-M142.local, ""QM"" question"
"158","2.935301378","192.168.3.51","224.0.0.251","MDNS","85","Standard query 0x0000 AAAA HPLaserJetM139-M142.local, ""QM"" question"
"159","2.937377286","fe80::99c3:5cdc:2244:3a32","ff02::fb","MDNS","105","Standard query 0x0000 AAAA HPLaserJetM139-M142.local, ""QM"" question"
"160","2.944654027","34.107.221.82","192.168.3.249","TCP","74","80  >  43208 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333665 TSecr=1094778553 WS=128"
"161","2.944756029","192.168.3.249","34.107.221.82","TCP","66","43208  >  80 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=1094779104 TSecr=16333665"
"162","2.944778722","216.239.32.180","192.168.3.249","TCP","74","443  >  56626 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333665 TSecr=4108659536 WS=128"
"163","2.944798834","192.168.3.249","216.239.32.180","TCP","66","56626  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=4108660087 TSecr=16333665"
"164","2.944807768","216.239.32.180","192.168.3.249","TCP","74","443  >  56634 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333665 TSecr=4108659786 WS=128"
"165","2.944817897","192.168.3.249","216.239.32.180","TCP","66","56634  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=4108660088 TSecr=16333665"
"166","2.944824983","192.168.3.1","192.168.3.249","DNS","195","Standard query response 0x7188 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net A 34.107.221.82"
"167","2.944843519","8.8.8.8","192.168.3.249","TCP","66","443  >  53916 [ACK] Seq=1 Ack=1721 Win=17408 Len=0 TSval=16333669 TSecr=3434441734"
"168","2.944856488","8.8.8.8","192.168.3.249","TCP","66","443  >  53916 [FIN, ACK] Seq=1 Ack=1721 Win=17408 Len=0 TSval=16333669 TSecr=3434441734"
"169","2.945100101","192.168.3.249","34.107.221.82","HTTP","361","GET /success.txt?ipv4 HTTP/1.1 "
"170","2.945207723","192.168.3.249","8.8.8.8","TCP","66","53916  >  443 [FIN, ACK] Seq=1721 Ack=2 Win=32128 Len=0 TSval=3434442029 TSecr=16333669"
"171","2.945395629","192.168.3.249","8.8.8.8","TCP","74","53918  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3434442029 TSecr=0 WS=128"
"172","2.948079117","192.168.3.249","216.239.32.180","TLSv1","583","Client Hello"
"173","2.951332733","192.168.3.249","216.239.32.180","TLSv1","583","Client Hello"
"174","2.963835543","192.168.3.51","224.0.0.252","LLMNR","79","Standard query 0xeec9 A HPLaserJetM139-M142"
"175","2.965228034","fe80::99c3:5cdc:2244:3a32","ff02::1:3","LLMNR","99","Standard query 0xe99a AAAA HPLaserJetM139-M142"
"176","2.966290980","192.168.3.51","224.0.0.252","LLMNR","79","Standard query 0xe99a AAAA HPLaserJetM139-M142"
"177","2.969180092","08:55:31:cd:f7:4b","Spanning-tree-(for-bridges)_00","STP","53","RST. Root = 32768/0/08:55:31:cd:f7:4b  Cost = 0  Port = 0x8001"
"178","3.043445003","192.168.3.137","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"179","3.047185104","fe80::b86c:1288:e129:b8e4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"180","3.069623270","192.168.3.137","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
